ID,cluster,Tema_Cluster,ementa detalhada
2180,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
2183,38,Direitos Humanos e Minorias,Altera a Lei nº 9.605 de 1998.
2208,15,Direitos Humanos e Minorias,Altera a Lei nº 6.385 de 1976.
2242,10,Direito Civil e Processual Civil,Para substituir o financiamento realizado pela Conta de Desenvolvimento Energético para descontos especiais nas tarifas de energia elétrica concedidos ao consumo na atividade de irrigação e aquicultura por recursos providos pelo Orçamento Geral da União.
2257,33,Direito e Defesa do Consumidor,Altera a Lei nº 12.965 de 2014.
2280,29,Direitos Humanos e Minorias,"Altera a Lei nº 8.906, de 1994."
2281,27,Direito Civil e Processual Civil,"Altera o Decreto-lei nº 2.848, de 1940 e a Lei nº 9.503, de 1997."
2343,29,Direitos Humanos e Minorias,Altera as Leis nº 12.351 de 2010 e 12.734 de 2012.
2381,8,Direito Penal e Processual Penal,"Altera o Decreto-Lei nº 5.452, de 1943."
2401,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
2402,29,Direitos Humanos e Minorias,"Altera a Lei nº 9.986, de 2000, a Lei nº 13.303, de 2016 e a Lei nº 12.813, de 2013."
2447,35,Direitos Humanos e Minorias,Altera a Lei nº 13.999 de 2020.
2450,0,Trabalho e Emprego,Altera o Decreto-lei nº 5.452 de 1943.
2452,44,Educação,Altera a Lei nº 12.711 de 2012.
2457,30,Finanças Públicas e Orçamento,Altera a Lei nº 6.538 de 1978.
2460,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 12.305 de 2010.
2462,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
2495,33,Direito e Defesa do Consumidor,Altera a Lei nº 12.965 de 2014.
2523,16,Direito Civil e Processual Civil,Altera a Lei nº 11.340 de 2006.
2525,30,Finanças Públicas e Orçamento,Altera a Lei nº 9.503 de 1997.
2544,42,Direitos Humanos e Minorias,Altera a Lei nº 9.610 de 1998.
2593,49,Direito Civil e Processual Civil,"Estabelece que caso a candidata eleita seja do sexo feminino, a convocação de uma suplente também será do sexo feminino."
2595,12,Direito Penal e Processual Penal,Altera o Decreto-lei 2.848 de 1940 e a Lei nº 7.716 de 1989.
2598,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 10.735 de 2003.
